time(s)	origin signal	filtered signal
0.209	0.592374		0.952802
0.21	0.444523		1.02096
0.211	0.126991		0.971056
0.212	-0.435888		0.808625
0.213	-0.943561		0.55913
0.214	-1.40773		0.260246
0.215	-1.42573		-0.0490822
0.216	-1.23218		-0.337612
0.217	-0.672155		-0.585449
0.218	-0.206182		-0.781481
0.219	0.175899		-0.917398
0.22	0.337044		-0.98254
0.221	0.201194		-0.9636
0.222	0.241991		-0.849584
0.223	0.289005		-0.639693
0.224	0.581513		-0.349792
0.225	1.02691		-0.0131896
0.226	1.2844		0.32551
0.227	1.27823		0.621049
0.228	0.985849		0.838606
0.229	0.382098		0.960398
0.23	-0.298731		0.985392
0.231	-0.803525		0.923395
0.232	-1.00017		0.787463
0.233	-0.91989		0.588808
0.234	-0.6747		0.3369
0.235	-0.491593		0.0441052
0.236	-0.486165		-0.268838
0.237	-0.602864		-0.570457
0.238	-0.765272		-0.821967
0.239	-0.773917		-0.986119
0.24	-0.507101		-1.0378
0.241	0.0919309		-0.971349
0.242	0.717643		-0.801486
0.243	1.27169		-0.557523
0.244	1.41649		-0.273613
0.245	1.26279		0.0200382
0.246	0.898862		0.301424
0.247	0.443611		0.555223
0.248	0.0972331		0.767516
0.249	-0.0481267		0.921304
0.25	-0.000553911		0.996072
0.251	-0.00870487		0.97294
0.252	-0.0646974		0.842799
0.253	-0.412556		0.613651
0.254	-0.876352		0.312395
0.255	-1.27478		-0.0200477
0.256	-1.41175		-0.338955
0.257	-1.26627		-0.606759
0.258	-0.704527		-0.80035
0.259	-0.0313669		-0.911712
0.26	0.516684		-0.942865
0.261	0.772901		-0.898774
0.262	0.794616		-0.782384
0.263	0.579276		-0.594996
0.264	0.515421		-0.341459
0.265	0.572125		-0.0368801
0.266	0.691681		0.289721
0.267	0.940282		0.597647
0.268	0.990532		0.843383
0.269	0.767553		0.991735
0.27	0.254748		1.02528
0.271	-0.334779		0.947461
0.272	-0.93792		0.778499
0.273	-1.2836		0.54667
0.274	-1.32784		0.2791
0.275	-1.01731		-0.00312626
0.276	-0.650848		-0.284101
0.277	-0.352343		-0.548355
0.278	-0.188431		-0.77569
0.279	-0.21435		-0.939996
0.28	-0.289384		-1.01396
0.281	-0.187301		-0.977791
0.282	0.156519		-0.827955
0.283	0.664547		-0.581374
0.284	1.18849		-0.272627
0.285	1.47565		0.0550914
0.286	1.36874		0.361153
0.287	0.975383		0.616079
0.288	0.427523		0.804241
0.289	-0.162008		0.920344
0.29	-0.44286		0.962839
0.291	-0.503986		0.928906
0.292	-0.426105		0.813983
0.293	-0.36435		0.616377
0.294	-0.479907		0.344393
0.295	-0.661708		0.0212165
0.296	-1.051		-0.315532
0.297	-1.2377		-0.621026
0.298	-1.0583		-0.854047
0.299	-0.648832		-0.987119
0.3	0.0109638		-1.01173
0.301	0.696902		-0.936536
0.302	1.04403		-0.780501
0.303	1.23184		-0.56479
0.304	1.02911		-0.307551
0.305	0.68832		-0.0239968
0.306	0.420393		0.269567
0.307	0.387358		0.551068
0.308	0.436149		0.791259
0.309	0.528923		0.957739
0.31	0.517526		1.02324
0.311	0.148513		0.974614
0.312	-0.387443		0.817886
0.313	-1.03163		0.577206
0.314	-1.40422		0.287439
0.315	-1.48762		-0.0154289
0.316	-1.19225		-0.302386
0.317	-0.655336		-0.554095
0.318	-0.164695		-0.758014
0.319	0.170363		-0.903064
0.32	0.312709		-0.975556
0.321	0.249566		-0.959897
0.322	0.213157		-0.844414
0.323	0.299522		-0.62952
0.324	0.559372		-0.333593
0.325	1.02079		0.00713877
0.326	1.25339		0.345872
0.327	1.32034		0.636573
0.328	1.00937		0.845383
0.329	0.370834		0.956712
0.33	-0.269159		0.972128
0.331	-0.80047		0.903654
0.332	-1.02194		0.765391
0.333	-0.904826		0.56828
0.334	-0.704898		0.320498
0.335	-0.538762		0.032624
0.336	-0.453071		-0.276061
0.337	-0.61187		-0.574708
0.338	-0.80419		-0.824384
0.339	-0.774006		-0.987161
0.34	-0.512366		-1.03716
0.341	0.092468		-0.968403
0.342	0.757302		-0.795983
0.343	1.24238		-0.550072
0.344	1.39498		-0.265794
