time(s)	origin signal	filtered signal
0.915	-1.43396		-0.0164266
0.916	-1.17496		-0.31241
0.917	-0.704822		-0.568052
0.918	-0.134735		-0.770552
0.919	0.169945		-0.910236
0.92	0.343642		-0.97592
0.921	0.273602		-0.954528
0.922	0.17297		-0.836216
0.923	0.27706		-0.621953
0.924	0.597609		-0.329459
0.925	0.968122		0.00648351
0.926	1.30143		0.340366
0.927	1.27759		0.627207
0.928	1.01906		0.833384
0.929	0.340709		0.943101
0.93	-0.30572		0.957477
0.931	-0.819761		0.888338
0.932	-1.04787		0.750049
0.933	-0.963546		0.554119
0.934	-0.755556		0.309318
0.935	-0.497355		0.0265495
0.936	-0.472539		-0.275181
0.937	-0.586851		-0.566025
0.938	-0.821671		-0.808493
0.939	-0.766568		-0.96618
0.94	-0.482891		-1.01421
0.941	0.098294		-0.946876
0.942	0.708265		-0.778716
0.943	1.23067		-0.538672
0.944	1.46714		-0.26036
0.945	1.26774		0.0269156
0.946	0.89433		0.302181
0.947	0.383035		0.551202
0.948	0.130974		0.760795
0.949	0.00612605		0.914105
0.95	0.0357021		0.989993
0.951	-0.0107801		0.968305
0.952	-0.0896829		0.838353
0.953	-0.410557		0.606822
0.954	-0.863668		0.300268
0.955	-1.26829		-0.039629
0.956	-1.46663		-0.36648
0.957	-1.19019		-0.64061
0.958	-0.682932		-0.836944
0.959	-0.098178		-0.946502
0.96	0.480813		-0.971635
0.961	0.716555		-0.918753
0.962	0.774065		-0.792969
0.963	0.653992		-0.597703
0.964	0.519058		-0.339232
0.965	0.476877		-0.033028
0.966	0.733354		0.292514
0.967	0.938698		0.598226
0.968	1.05137		0.84203
0.969	0.837715		0.989956
0.97	0.323586		1.02493
0.971	-0.391141		0.950066
0.972	-0.983548		0.78469
0.973	-1.30984		0.556012
0.974	-1.33807		0.290456
0.975	-0.984803		0.00883264
0.976	-0.658698		-0.272819
0.977	-0.283146		-0.538583
0.978	-0.17691		-0.76782
0.979	-0.274377		-0.9343
0.98	-0.328417		-1.01102
0.981	-0.226374		-0.978587
0.982	0.182683		-0.833751
0.983	0.637941		-0.593203
0.984	1.17652		-0.29062
0.985	1.49531		0.0323378
0.986	1.43329		0.336837
0.987	0.986705		0.594698
0.988	0.451895		0.790445
0.989	-0.129842		0.917547
0.99	-0.495999		0.972126
0.991	-0.552196		0.948419
0.992	-0.426005		0.839383
0.993	-0.428924		0.642155
0.994	-0.499814		0.365488
0.995	-0.741785		0.0346643
0.996	-1.04942		-0.310026
0.997	-1.15247		-0.621286
0.998	-1.10593		-0.856672
0.999	-0.663908		-0.98914
1	0.0313837		-1.01189
1.001	0.605954		-0.935803
1.002	1.11822		-0.781595
1.003	1.16827		-0.5706
1.004	1.05351		-0.319651
1.005	0.681758		-0.0413391
1.006	0.436849		0.250712
1.007	0.357654		0.536084
1.008	0.436378		0.785388
1.009	0.584509		0.963978
1.01	0.513013		1.04095
1.011	0.182166		0.999303
1.012	-0.369245		0.842428
1.013	-0.982152		0.59392
1.014	-1.44938		0.290498
1.015	-1.50818		-0.0284361
1.016	-1.22356		-0.32981
1.017	-0.699081		-0.590812
1.018	-0.170695		-0.797229
1.019	0.150633		-0.938232
1.02	0.333339		-1.00215
1.021	0.258654		-0.976267
1.022	0.207163		-0.851864
1.023	0.351172		-0.631376
